Study,Study_Type,Variable_A,Variable_B,Feedback_Type,Attribution_Type,Setting,Point_Transformation,N,r,Fisher_z,SE_z,VI_z,CI_lower_z,CI_upper_z,CI_lower_r,CI_upper_r
Phan (2012),Correlational,Feedback_Verbal_Persuation,Self-Efficacy,Formative,,Classroom,r_to_fisher_z,339,0.25,0.25541281188299536,0.05455447255899809,0.002976190476190476,0.14848801047178042,0.3623376132942103,0.1474062282230264,0.34727140367608306
Dong (2023),Correlational,Attributions_Failure_Internal,Self-Efficacy,,Adaptive,Classroom,r_to_fisher_z,266,0.52,0.5763397549691928,0.06166264159782074,0.0038022813688212928,0.45548319824586275,0.6971963116925228,0.4263957533048891,0.6025851492316837
van der Kleij (2019),Correlational,Self-Efficacy,Feedback_Quality_Perceptions,Formative,,Classroom,r_to_fisher_z,174,0.32,0.3316471087051321,0.07647191129018725,0.005847953216374269,0.18176491674742312,0.48152930066284105,0.1797892756979269,0.44746753991913846
Wolters et al. (2013),Correlational,Self-Efficacy,Attributions_Success_Ability,,Adaptive,Classroom,r_to_fisher_z,224,0.2,0.2027325540540822,0.06726727939963124,0.004524886877828055,0.07089110909281185,0.33457399901535256,0.07077259174398921,0.32262471093031614
Wolters et al. (2013),Correlational,Self-Efficacy,Attributions_Success_Effort,,Adaptive,Classroom,r_to_fisher_z,224,-0.72,-0.9076449833191245,0.06726727939963124,0.004524886877828055,-1.0394864282803948,-0.7758035383578541,-0.7776851811256094,-0.6502914449081834
Wolters et al. (2013),Correlational,Self-Efficacy,Attributions_Success_Environment,,Maladaptive,Classroom,r_to_fisher_z,224,-0.16,-0.16138669613152554,0.06726727939963124,0.004524886877828055,-0.2932281410927959,-0.029545251170255193,-0.28510327965695287,-0.029536657272361922
Wolters et al. (2013),Correlational,Self-Efficacy,Attributions_Failure_Ability,,Maladaptive,Classroom,r_to_fisher_z,224,-0.33,-0.3428282544153939,0.06726727939963124,0.004524886877828055,-0.47466969937666426,-0.21098680945412354,-0.44196461274439364,-0.20791084589385314
Wolters et al. (2013),Correlational,Self-Efficacy,Attributions_Failure_Effort,,Adaptive,Classroom,r_to_fisher_z,224,-0.08,-0.08017132503758968,0.06726727939963124,0.004524886877828055,-0.21201276999886004,0.05167011992368066,-0.2088922476388614,0.05162418599251863
Wolters et al. (2013),Correlational,Self-Efficacy,Attributions_Failure_Environment,,Maladaptive,Classroom,r_to_fisher_z,224,-0.01,-0.010000333353334763,0.06726727939963124,0.004524886877828055,-0.1418417783146051,0.12184111160793558,-0.14089812922730025,0.12124174957926434
Wolters et al. (2013),Correlational,Self-Efficacy,Attributions_Failure_Task,,Maladaptive,Classroom,r_to_fisher_z,224,0.71,0.8871838632580928,0.06726727939963124,0.004524886877828055,0.7553424182968225,1.0190253082193632,0.638325354836957,0.7694692405716933
Yildirim & Yildirim (2017),Correlational,Feedback_Feedback,Self-Efficacy,Formative,,Classroom,r_to_fisher_z,4848,0.1,0.1003353477310756,0.014366570530687186,0.0002063983488132095,0.07217738690957422,0.12849330855257696,0.07205230970159714,0.12779078358872858
Yildirim & Yildirim (2017),Correlational,Feedback_Teacher_Support,Self-Efficacy,Formative,,Classroom,r_to_fisher_z,4848,0.11,0.11044691579009715,0.014366570530687186,0.0002063983488132095,0.08228895496859577,0.13860487661159854,0.0821037175632198,0.1377240508851732
Luo & Lim (2024),Correlational,Feedback_Formative_Assessment,Self-Efficacy,Formative,,Classroom,r_to_fisher_z,1939,0.33,0.3428282544153939,0.022727272727272728,0.0005165289256198347,0.2982836184031199,0.38737289042766787,0.28974110399499337,0.3690932123374097
Yildirim (2012),Correlational,Feedback_Teacher_Support,Self-Efficacy,Formative,,Classroom,r_to_fisher_z,4855,0.17,0.17166666350057913,0.014356203435505357,0.00020610057708161583,0.14352902181225843,0.19980430518889983,0.14255148247017485,0.1971872418377052
Smit et al. (2023),Correlational,Feedback,Self-Efficacy,Formative,,Classroom,r_to_fisher_z,1261,0.21,0.21317134656485978,0.028194193721730047,0.000794912559618442,0.15791174229712357,0.268430950832596,0.15661213499232807,0.26216422920134397
