Study,Study_Type,Predictor,Outcome,Feedback_Type,Attribution_Type,Setting,Condition,Design,Score_type,Point_Transformation,N,Cohens_d,Hedges_g,r_effect,Fisher_z,SE_z,VI_z,CI_lower_z,CI_upper_z,CI_lower_r,CI_upper_r,Control_Setting
"Jain et al., 2007",Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Ability,between_groups,change_scores,cohen_d_to_fisher_z,96,1.5144809944667712,1.502365146511037,0.603687858585305,0.6989295154770795,0.10369516947304253,0.010752688172043012,0.4956907179391389,0.9021683130150201,0.4587213908661797,0.7173520205363604,Individual
"Jain et al., 2007",Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Ability_Effort,between_groups,change_scores,cohen_d_to_fisher_z,96,1.4773557958298857,1.4655369494632466,0.5941556383319788,0.6840648771154136,0.10369516947304253,0.010752688172043012,0.48082607957747303,0.8873036746533542,0.44690494588422475,0.7100594094168989,Individual
"Jain et al., 2007",Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Effort,between_groups,change_scores,cohen_d_to_fisher_z,96,2.484357269806961,2.4644824116485053,0.7789511313820856,1.0426977077676085,0.10369516947304253,0.010752688172043012,0.8394589102296679,1.2459365053055491,0.6855223590495297,0.8471402406368371,Individual
Schunk (1984a),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,24,6.687765446106387,6.467289662168814,0.9894558144430263,2.620020922145027,0.21821789023599236,0.047619047619047616,2.192321716500167,3.0477201277898867,0.9753723752309651,0.9955038943074173,
Schunk (1984a),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,24,7.664144863130284,7.411480746763352,0.9919409405892033,2.7550339690550048,0.21821789023599236,0.047619047619047616,2.327334763410145,3.1827331746998646,0.9811453253203565,0.9965660278637443,
Schunk (1984a),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,24,2.95168159996536,2.8543734153511173,0.9491596316738882,1.8232314547241262,0.21821789023599236,0.047619047619047616,1.3955322490792663,2.250930660368986,0.8843821042445479,0.9780665290191088,
Schunk (1984a),Experimental,Feedback_Attributional,Self-Efficacy,Attributional,,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,24,4.405962589505304,4.260711075565569,0.9761944628438463,2.2095050392991618,0.21821789023599236,0.047619047619047616,1.781805833654302,2.6372042449440216,0.9448890437073074,0.9898102118974005,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,3.942016105828532,3.604129011043229,0.9722416260270542,2.1316942483032135,0.3779644730092272,0.14285714285714285,1.390897493769467,2.87249100283696,0.883368189343097,0.9936228150663905,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,2.1040088327645097,1.9236652185275516,0.9116165389576588,1.5370098293503036,0.3779644730092272,0.14285714285714285,0.796213074816557,2.2778065838840504,0.6619143431425561,0.9792024318795097,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,1.2121718088783613,1.1082713681173588,0.7874964561340959,1.0648063133712211,0.3779644730092272,0.14285714285714285,0.3240095588374745,1.8056030679049677,0.3131278732729038,0.9473831894754844,
Schunk (1984b),Experimental,Feedback_Attributional,Attributions_Success_Ability,Attributional,Adaptive,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,1.268388676164575,1.15966964677904,0.8007897110042234,1.1008097903024872,0.3779644730092272,0.14285714285714285,0.36001303576874055,1.8416065448362338,0.3452255163444492,0.9509491178492562,
