Study,Study_Type,Variable_A,Variable_B,Feedback,Attributions,Feedback_Type,Attribution_Type,Setting,Condition,Design,Score_type,Point_Transformation,N,Cohens_d,Hedges_g,r_effect,Fisher_z,SE_z,VI_z,CI_lower_z,CI_upper_z,CI_lower_r,CI_upper_r
"Jain et al., 2007",Experimental,Feedback,Self-Efficacy,Ability,,Attributional,,Individual,Ability,between_groups,change_scores,cohen_d_to_fisher_z,96,1.514480994,1.502365147,0.603687859,0.698929515,0.103695169,0.010752688,0.495690718,0.902168313,0.458721391,0.717352021
"Jain et al., 2007",Experimental,Feedback,Self-Efficacy,Ability_Effort,,Attributional,,Individual,Ability_Effort,between_groups,change_scores,cohen_d_to_fisher_z,96,1.477355796,1.465536949,0.594155638,0.684064877,0.103695169,0.010752688,0.48082608,0.887303675,0.446904946,0.710059409
"Jain et al., 2007",Experimental,Feedback,Self-Efficacy,Effort,,Attributional,,Individual,Effort,between_groups,change_scores,cohen_d_to_fisher_z,96,2.48435727,2.464482412,0.778951131,1.042697708,0.103695169,0.010752688,0.83945891,1.245936505,0.685522359,0.847140241
Schunk (1984a),Experimental,Feedback,Self-Efficacy,Ability_Ability,,Attributional,,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,24,6.687765446,6.467289662,0.989455814,2.620020922,0.21821789,0.047619048,2.192321717,3.047720128,0.975372375,0.995503894
Schunk (1984a),Experimental,Feedback,Self-Efficacy,Ability_Effort,,Attributional,,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,24,7.664144863,7.411480747,0.991940941,2.755033969,0.21821789,0.047619048,2.327334763,3.182733175,0.981145325,0.996566028
Schunk (1984a),Experimental,Feedback,Self-Efficacy,Effort_Ability,,Attributional,,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,24,2.9516816,2.854373415,0.949159632,1.823231455,0.21821789,0.047619048,1.395532249,2.25093066,0.884382104,0.978066529
Schunk (1984a),Experimental,Feedback,Self-Efficacy,Effort_Effort,,Attributional,,Individual,Effort_Effort,within_groups,change_scores,cohen_d_to_fisher_z,24,4.40596259,4.260711076,0.976194463,2.209505039,0.21821789,0.047619048,1.781805834,2.637204245,0.944889044,0.989810212
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Ability,Success_Ability,Attributional,Adaptive,Individual,Ability_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,3.942016106,3.604129011,0.972241626,2.131694248,0.377964473,0.142857143,1.390897494,2.872491003,0.883368189,0.993622815
Schunk (1984b),Experimental,Feedback,Attributions,Ability_Effort,Success_Ability,Attributional,Adaptive,Individual,Ability_Effort,within_groups,change_scores,cohen_d_to_fisher_z,10,2.104008833,1.923665219,0.911616539,1.537009829,0.377964473,0.142857143,0.796213075,2.277806584,0.661914343,0.979202432
Schunk (1984b),Experimental,Feedback,Attributions,Effort_Ability,Success_Ability,Attributional,Adaptive,Individual,Effort_Ability,within_groups,change_scores,cohen_d_to_fisher_z,10,1.212171809,1.108271368,0.787496456,1.064806313,0.377964473,0.142857143,0.324009559,1.805603068,0.313127873,0.947383189
